# TF 카드 문장 표 (WBS 4.7.21) — 한 줄 = 번호<TAB>문장. 번호는 카드 /MP3/ 파일 이름 앞 네 자리다.
# 번호를 바꾸거나 다시 쓰지 않는다(구운 카드와 어긋난다). 새 문장은 `python tf_tracks.py --add` 로 붙인다.
0001	경보가 발령되었습니다. 관리자에게 통보되었습니다.
0002	작업자가 쓰러졌습니다. 관리자에게 통보되었습니다.
0003	네, 메카독입니다. 무엇을 도와드릴까요?
0004	불러주셨습니다. 말씀해 주세요.
0005	네, 듣고 있습니다. 무엇이 필요하신가요?
0006	안녕하세요, 메카독입니다. 무슨 일이신가요?
0007	네, 여기 있습니다. 말씀하세요.
0008	메카독입니다. 도움이 필요하신가요?
0009	잘 못 들었습니다. 다시 말씀해 주세요.
0010	신원 확인이 필요합니다. 성명을 말씀해 주세요.
0011	이 구역은 출입 통제 구역입니다. 사원증을 제시하거나 성명을 말씀해 주세요.
0012	관리 규정에 따라 신원을 확인하겠습니다. 성명과 소속을 말씀해 주세요.
0013	순찰 중 미등록 인원이 확인되었습니다. 성명을 말씀해 주시겠습니까?
0014	신원이 확인되었습니다. 안전한 작업 되십시오.
0015	확인되었습니다. 좋은 하루 되세요.
0016	등록된 사원으로 확인되었습니다. 통행하셔도 됩니다.
0017	등록된 명단에서 확인되지 않았습니다. 안내 데스크에서 방문증을 받아 주세요.
0018	신원을 확인할 수 없습니다. 방문자는 동행 직원과 함께 이동해 주세요.
0019	미등록 인원으로 확인됩니다. 출입 관리 절차에 따라 안내 데스크로 이동해 주세요.
0020	죄송합니다, 잘 듣지 못했습니다. 성명을 다시 한번 말씀해 주시겠습니까?
0021	소음 때문에 인식이 어렵습니다. 조금 더 크게 성명을 말씀해 주세요.
0022	안전 경고입니다. 이 구역은 안전모 착용이 필수입니다. 지금 착용해 주세요.
0023	안전모 미착용이 확인되었습니다. 낙하물 위험이 있는 구역입니다. 안전모를 착용해 주세요.
0024	보호구 착용 규정 위반입니다. 안전모를 착용한 뒤 작업을 계속해 주세요.
0025	안전조끼 미착용이 확인되었습니다. 지게차 통행 구역에서는 형광 안전조끼가 필수입니다.
0026	안내드립니다. 이 통로는 차량 운행 구역이라 안전조끼 착용이 필요합니다.
0027	안전조끼를 착용해 주세요. 야간·창고 구역에서는 시인성 확보가 필수입니다.
0028	보안경 미착용이 확인되었습니다. 비산물 위험 공정에서는 보안경 착용이 필수입니다.
0029	안면 보호가 필요한 구역입니다. 보안경과 방진마스크를 착용해 주세요.
0030	안전화 미착용이 확인되었습니다. 발등 보호를 위해 안전화를 착용해 주세요.
0031	중량물 취급 구역에서는 안전화가 필수입니다. 신발을 확인해 주세요.
0032	보호구 착용 상태를 확인해 주세요. 이 구역은 안전모, 안전조끼, 안전화가 필수입니다.
0033	경고입니다. 지정 보호구 없이는 이 구역에 체류할 수 없습니다. 착용 후 통행해 주세요.
0034	안전 수칙 안내입니다. 헬멧, 조끼, 보안경 등 지급된 보호구를 올바르게 착용해 주세요.
0035	지게차가 접근하고 있습니다. 통로 가장자리로 이동해 주세요.
0036	차량 통행 안내입니다. 지게차 운행 중이니 보행자는 정지선 뒤로 물러나 주세요.
0037	주의하세요. 지게차 작업 구역입니다. 운전자와 눈을 마주친 뒤 통행해 주세요.
0038	후진하는 차량이 있습니다. 경고음에 주의하고 안전한 위치로 이동해 주세요.
0039	하역 작업 중입니다. 포크 아래와 화물 낙하 반경에 접근하지 마세요.
0040	상하차 작업 구역입니다. 운반 중인 화물에서 떨어져 주세요.
0041	화재가 감지되었습니다. 침착하게 가장 가까운 비상구로 대피해 주세요.
0042	화재 경보입니다. 엘리베이터를 이용하지 마시고 계단으로 대피해 주세요.
0043	화재 상황입니다. 큰 소리로 주변에 알리고 지정된 집결지로 이동해 주세요.
0044	연기가 감지되었습니다. 자세를 낮추고 젖은 수건으로 코와 입을 막으며 대피해 주세요.
0045	대피 중 문을 열어 두면 유독가스가 확산됩니다. 지나온 문은 닫아 주세요.
0046	집결지에 도착하면 소속 팀의 인원 점검에 응해 주세요.
0047	화재 상황을 관제 센터에 전파했습니다. 소방대 도착 전까지 대피를 우선해 주세요.
0048	관제에 화재 위치를 보고했습니다. 초기 진압은 소화기로 안전한 경우에만 시도해 주세요.
0049	알겠습니다. 비상 상황을 관제 센터에 즉시 전파했습니다.
0050	응급 상황으로 접수했습니다. 담당자가 확인 중입니다. 현재 위치를 알려 주세요.
0051	비상 접수되었습니다. 부상자가 있다면 움직이지 말고 그 자리에서 기다려 주세요.
0052	위치를 말씀해 주세요. 몇 번 구역인지 또는 주변 표지판을 알려 주시면 빠르게 전파하겠습니다.
0053	정확한 위치 확인이 필요합니다. 구역 번호나 인근 설비 이름을 말씀해 주세요.
0054	메카독이 순찰을 시작합니다. 이동 경로에 주의해 주세요.
0055	순찰 모드로 전환합니다. 작업자 여러분은 로봇 접근 시 잠시 멈춰 주세요.
0056	지금부터 구역 순찰을 시작합니다. 통행 시 양보해 주시면 감사하겠습니다.
0057	앞을 가로막고 계십니다. 순찰 경로 확보를 위해 잠시 비켜 주시겠습니까?
0058	통행을 방해하고 있습니다. 양보해 주시면 감사하겠습니다.
0059	순찰 완료 보고입니다. 특이사항이 없으면 다음 구역으로 이동합니다.
0060	이 구역 순찰이 끝났습니다. 이상 징후를 발견하면 메카독을 불러 주세요.
0061	안녕하세요, 방문자님. 안내 데스크에서 방문증을 수령하셨나요?
